grp,vcov,sdcor,Percent,Rmse,Heritability,R_squared,Env.DAP,Vegetation.Index,DAP,Year,Env
Residual,0.000156688387429321,0.0125175232146508,52.51,0.0104297674755858,0.534,0.474920054738542,TXH1.2020.19,ExG2_median,19,2020,TXH1.2020
Pedigree,1.28542809156235e-05,0.00358528672711451,31.89,0.0030118129481599,0.642,0.64486569896976,TXH1.2020.19,ExGR_mean,19,2020,TXH1.2020
Pass,1.0304382377649e-05,0.00321004398375614,25.57,0.0030118129481599,0.642,0.64486569896976,TXH1.2020.19,ExGR_mean,19,2020,TXH1.2020
Range,2.42186142670603e-06,0.00155623308880965,6.01,0.0030118129481599,0.642,0.64486569896976,TXH1.2020.19,ExGR_mean,19,2020,TXH1.2020
Replicate,4.0900088595025e-07,0.00063953177086854,1.01,0.0030118129481599,0.642,0.64486569896976,TXH1.2020.19,ExGR_mean,19,2020,TXH1.2020
Residual,1.43127042187459e-05,0.00378321347781828,35.51,0.0030118129481599,0.642,0.64486569896976,TXH1.2020.19,ExGR_mean,19,2020,TXH1.2020
Pedigree,1.17140412978154e-07,0.000342257816533318,26.48,0.000492657138182377,0.429,0.294489580804341,TXH1.2020.19,ExGR_median,19,2020,TXH1.2020
Pass,1.31553151405797e-08,0.000114696622184699,2.97,0.000492657138182377,0.429,0.294489580804341,TXH1.2020.19,ExGR_median,19,2020,TXH1.2020
Range,0,0,0,0.000492657138182377,0.429,0.294489580804341,TXH1.2020.19,ExGR_median,19,2020,TXH1.2020
Replicate,0,0,0,0.000492657138182377,0.429,0.294489580804341,TXH1.2020.19,ExGR_median,19,2020,TXH1.2020
Residual,3.12150241490298e-07,0.000558704073271618,70.55,0.000492657138182377,0.429,0.294489580804341,TXH1.2020.19,ExGR_median,19,2020,TXH1.2020
Pedigree,4.55370028506126e-06,0.0021339400846934,18.84,0.00289941184172033,0.441,0.521590243978821,TXH1.2020.19,EXR_mean,19,2020,TXH1.2020
Pass,3.50972793303382e-06,0.00187342678881077,14.52,0.00289941184172033,0.441,0.521590243978821,TXH1.2020.19,EXR_mean,19,2020,TXH1.2020
Range,4.54324045614772e-06,0.00213148785034016,18.8,0.00289941184172033,0.441,0.521590243978821,TXH1.2020.19,EXR_mean,19,2020,TXH1.2020
Replicate,0,0,0,0.00289941184172033,0.441,0.521590243978821,TXH1.2020.19,EXR_mean,19,2020,TXH1.2020
Residual,1.15630101488809e-05,0.00340044264013979,47.84,0.00289941184172033,0.441,0.521590243978821,TXH1.2020.19,EXR_mean,19,2020,TXH1.2020
Pedigree,5.92006918139438e-08,0.000243311922876672,4.7,0.000927613950052888,0.109,0.231031009621449,TXH1.2020.19,EXR_median,19,2020,TXH1.2020
Pass,1.16397183184598e-07,0.000341170314043585,9.23,0.000927613950052888,0.109,0.231031009621449,TXH1.2020.19,EXR_median,19,2020,TXH1.2020
Range,7.27465371952759e-08,0.000269715659899969,5.77,0.000927613950052888,0.109,0.231031009621449,TXH1.2020.19,EXR_median,19,2020,TXH1.2020
Replicate,4.29167842125032e-08,0.000207163665280626,3.4,0.000927613950052888,0.109,0.231031009621449,TXH1.2020.19,EXR_median,19,2020,TXH1.2020
Residual,9.69440546115436e-07,0.000984601719537111,76.9,0.000927613950052888,0.109,0.231031009621449,TXH1.2020.19,EXR_median,19,2020,TXH1.2020
Pedigree,1.29660137057596e-05,0.00360083514004177,41.19,0.00294670153885697,0.658,0.571230783509386,TXH1.2020.19,GminusB_mean,19,2020,TXH1.2020
Pass,1.78979702645097e-06,0.00133783295909877,5.69,0.00294670153885697,0.658,0.571230783509386,TXH1.2020.19,GminusB_mean,19,2020,TXH1.2020
Range,3.22445228155408e-06,0.00179567599570582,10.24,0.00294670153885697,0.658,0.571230783509386,TXH1.2020.19,GminusB_mean,19,2020,TXH1.2020
Replicate,1.55042232715986e-13,3.93754025650515e-07,0,0.00294670153885697,0.658,0.571230783509386,TXH1.2020.19,GminusB_mean,19,2020,TXH1.2020
Residual,1.34960922515789e-05,0.0036737027984826,42.88,0.00294670153885697,0.658,0.571230783509386,TXH1.2020.19,GminusB_mean,19,2020,TXH1.2020
Pedigree,5.42996784446797e-08,0.00023302291399062,16.61,0.000454608094902759,0.303,0.23470419750652,TXH1.2020.19,GminusB_median,19,2020,TXH1.2020
Pass,7.91048215625317e-09,8.89408913619218e-05,2.42,0.000454608094902759,0.303,0.23470419750652,TXH1.2020.19,GminusB_median,19,2020,TXH1.2020
Range,6.56713150453643e-09,8.10378399547794e-05,2.01,0.000454608094902759,0.303,0.23470419750652,TXH1.2020.19,GminusB_median,19,2020,TXH1.2020
Replicate,7.95581520037196e-09,8.91953765638778e-05,2.43,0.000454608094902759,0.303,0.23470419750652,TXH1.2020.19,GminusB_median,19,2020,TXH1.2020
Residual,2.50202278260536e-07,0.000500202237360586,76.53,0.000454608094902759,0.303,0.23470419750652,TXH1.2020.19,GminusB_median,19,2020,TXH1.2020
Pedigree,2.66125821153088e-06,0.00163133632692063,22.07,0.00196711318297442,0.492,0.544013241819213,TXH1.2020.19,GminusR_mean,19,2020,TXH1.2020
Pass,1.76344377554558e-06,0.00132794720359869,14.62,0.00196711318297442,0.492,0.544013241819213,TXH1.2020.19,GminusR_mean,19,2020,TXH1.2020
Range,1.78891641178647e-06,0.00133750379879329,14.84,0.00196711318297442,0.492,0.544013241819213,TXH1.2020.19,GminusR_mean,19,2020,TXH1.2020
Replicate,3.46343377873292e-07,0.000588509454361858,2.87,0.00196711318297442,0.492,0.544013241819213,TXH1.2020.19,GminusR_mean,19,2020,TXH1.2020
Residual,5.49849796736728e-06,0.00234488762361169,45.6,0.00196711318297442,0.492,0.544013241819213,TXH1.2020.19,GminusR_mean,19,2020,TXH1.2020
Pedigree,5.49766713355626e-07,0.000741462550204409,17.01,0.00128375494500635,0.343,0.349571127556843,TXH1.2020.19,GminusR_median,19,2020,TXH1.2020
Pass,2.19201736847852e-07,0.000468189851286689,6.78,0.00128375494500635,0.343,0.349571127556843,TXH1.2020.19,GminusR_median,19,2020,TXH1.2020
Range,3.60850059538961e-07,0.000600707965270114,11.16,0.00128375494500635,0.343,0.349571127556843,TXH1.2020.19,GminusR_median,19,2020,TXH1.2020
Replicate,4.16204232286404e-16,2.04010840958613e-08,0,0.00128375494500635,0.343,0.349571127556843,TXH1.2020.19,GminusR_median,19,2020,TXH1.2020
Residual,2.10219472289913e-06,0.00144989472821275,65.04,0.00128375494500635,0.343,0.349571127556843,TXH1.2020.19,GminusR_median,19,2020,TXH1.2020
Pedigree,0.000835137776576014,0.0288987504327785,22.55,0.040643931199205,0.429,0.400186259962568,TXH1.2020.19,GdivB_mean,19,2020,TXH1.2020
Pass,0.000299974893781108,0.0173197833064132,8.1,0.040643931199205,0.429,0.400186259962568,TXH1.2020.19,GdivB_mean,19,2020,TXH1.2020
Range,0.000259386553370399,0.0161054820905926,7.01,0.040643931199205,0.429,0.400186259962568,TXH1.2020.19,GdivB_mean,19,2020,TXH1.2020
Replicate,8.72598179855903e-05,0.00934129637607063,2.36,0.040643931199205,0.429,0.400186259962568,TXH1.2020.19,GdivB_mean,19,2020,TXH1.2020
Residual,0.00222091441302197,0.047126578626312,59.98,0.040643931199205,0.429,0.400186259962568,TXH1.2020.19,GdivB_mean,19,2020,TXH1.2020
Pedigree,0.0181697222394766,0.134795112075611,14.73,0.259465758807286,0.303,0.321913242363596,TXH1.2020.19,GdivB_median,19,2020,TXH1.2020
Pass,0.00712002607499062,0.084380246947912,5.77,0.259465758807286,0.303,0.321913242363596,TXH1.2020.19,GdivB_median,19,2020,TXH1.2020
Range,0.00970107094801539,0.0984940147827034,7.87,0.259465758807286,0.303,0.321913242363596,TXH1.2020.19,GdivB_median,19,2020,TXH1.2020
Replicate,0.00470819286315914,0.0686162725828148,3.82,0.259465758807286,0.303,0.321913242363596,TXH1.2020.19,GdivB_median,19,2020,TXH1.2020
Residual,0.0836230725272235,0.289176542145492,67.81,0.259465758807286,0.303,0.321913242363596,TXH1.2020.19,GdivB_median,19,2020,TXH1.2020
Pedigree,5.55453299255115e-05,0.00745287393731515,3.93,0.0266659843521554,0.119,0.420631274491738,TXH1.2020.19,GdivR_mean,19,2020,TXH1.2020
Pass,0.000227631039473082,0.015087446419891,16.09,0.0266659843521554,0.119,0.420631274491738,TXH1.2020.19,GdivR_mean,19,2020,TXH1.2020
Range,0.000274383181418109,0.0165645157314698,19.4,0.0266659843521554,0.119,0.420631274491738,TXH1.2020.19,GdivR_mean,19,2020,TXH1.2020
Replicate,3.74827444171512e-05,0.00612231528240348,2.65,0.0266659843521554,0.119,0.420631274491738,TXH1.2020.19,GdivR_mean,19,2020,TXH1.2020
Residual,0.000819598819963446,0.0286286363622763,57.94,0.0266659843521554,0.119,0.420631274491738,TXH1.2020.19,GdivR_mean,19,2020,TXH1.2020
Pedigree,2.00536812104825e-05,0.00447813367492335,33.05,0.00499605329528176,0.532,0.419075241267491,TXH1.2020.19,GdivR_median,19,2020,TXH1.2020
Pass,3.73975537371795e-06,0.00193384471292758,6.16,0.00499605329528176,0.532,0.419075241267491,TXH1.2020.19,GdivR_median,19,2020,TXH1.2020
Range,1.32777604554237e-06,0.00115229164951516,2.19,0.00499605329528176,0.532,0.419075241267491,TXH1.2020.19,GdivR_median,19,2020,TXH1.2020
Replicate,3.07534847151065e-07,0.000554558245048314,0.51,0.00499605329528176,0.532,0.419075241267491,TXH1.2020.19,GdivR_median,19,2020,TXH1.2020
Residual,3.52494911133525e-05,0.00593712818737751,58.09,0.00499605329528176,0.532,0.419075241267491,TXH1.2020.19,GdivR_median,19,2020,TXH1.2020
Pedigree,9.57186925459976e-06,0.00309384376699919,12.32,0.00628942852739609,0.28,0.366966527216513,TXH1.2020.19,GCC_mean,19,2020,TXH1.2020
Pass,8.47795991638795e-06,0.0029116936508479,10.91,0.00628942852739609,0.28,0.366966527216513,TXH1.2020.19,GCC_mean,19,2020,TXH1.2020
Range,7.64171649859941e-06,0.00276436547847773,9.84,0.00628942852739609,0.28,0.366966527216513,TXH1.2020.19,GCC_mean,19,2020,TXH1.2020
Replicate,2.81901148620939e-06,0.00167899121087914,3.63,0.00628942852739609,0.28,0.366966527216513,TXH1.2020.19,GCC_mean,19,2020,TXH1.2020
Residual,4.91819707487311e-05,0.00701298586543072,63.3,0.00628942852739609,0.28,0.366966527216513,TXH1.2020.19,GCC_mean,19,2020,TXH1.2020
Pedigree,9.97748201209316e-06,0.00315871524707327,30.09,0.00347646192226273,0.534,0.474968367274476,TXH1.2020.19,GCC_median,19,2020,TXH1.2020
Pass,3.64165033918455e-06,0.00190831086020715,10.98,0.00347646192226273,0.534,0.474968367274476,TXH1.2020.19,GCC_median,19,2020,TXH1.2020
Range,1.51224194711766e-06,0.00122973246973383,4.56,0.00347646192226273,0.534,0.474968367274476,TXH1.2020.19,GCC_median,19,2020,TXH1.2020
Replicate,6.17468168723216e-07,0.000785791428257662,1.86,0.00347646192226273,0.534,0.474968367274476,TXH1.2020.19,GCC_median,19,2020,TXH1.2020
Residual,1.74088235001764e-05,0.00417238822500692,52.5,0.00347646192226273,0.534,0.474968367274476,TXH1.2020.19,GCC_median,19,2020,TXH1.2020
Pedigree,8.03465374178692e-05,0.0089636230073486,15.02,0.017241534644227,0.304,0.310782407538947,TXH1.2020.19,GLI_mean,19,2020,TXH1.2020
Pass,2.82139227111394e-05,0.00531167795627139,5.27,0.017241534644227,0.304,0.310782407538947,TXH1.2020.19,GLI_mean,19,2020,TXH1.2020
Range,4.3672623214272e-05,0.00660852655395074,8.16,0.017241534644227,0.304,0.310782407538947,TXH1.2020.19,GLI_mean,19,2020,TXH1.2020
Replicate,1.40110813371568e-05,0.00374313789983174,2.62,0.017241534644227,0.304,0.310782407538947,TXH1.2020.19,GLI_mean,19,2020,TXH1.2020
Residual,0.000368677248654724,0.0192009699925479,68.92,0.017241534644227,0.304,0.310782407538947,TXH1.2020.19,GLI_mean,19,2020,TXH1.2020
Pedigree,4.77775223805649e-05,0.00691212864323031,29.98,0.00763208096450372,0.533,0.474014421133509,TXH1.2020.19,GLI_median,19,2020,TXH1.2020
Pass,1.74981782432286e-05,0.00418308238542209,10.98,0.00763208096450372,0.533,0.474014421133509,TXH1.2020.19,GLI_median,19,2020,TXH1.2020
Range,7.24011465391439e-06,0.00269074611472625,4.54,0.00763208096450372,0.533,0.474014421133509,TXH1.2020.19,GLI_median,19,2020,TXH1.2020
Replicate,3.02820597939078e-06,0.00174017412329651,1.9,0.00763208096450372,0.533,0.474014421133509,TXH1.2020.19,GLI_median,19,2020,TXH1.2020
Residual,8.38267022674104e-05,0.00915569234233056,52.6,0.00763208096450372,0.533,0.474014421133509,TXH1.2020.19,GLI_median,19,2020,TXH1.2020
